Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-17.0,6.628985575502934e-05,110.63161012354568,2258.4707087975776,1.98032150265e-313,0.0,0.0011672789827496973,3.40635055892292e-07
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.899,6.845343765674119e-05,111.93695828515621,1676.7884973942537,2.1006747409e-313,0.006893168191703724,0.0,2.3757883859557995e-05
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.797,7.156041889163771e-05,113.05784291262535,9118.173540898051,2.273506309e-313,0.012812237515788982,0.014932848544352596,0.00013782420649263868
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.696,7.437466626512744e-05,113.83893227533349,19614.74237237538,2.43005401557e-313,0.01693694578002323,0.035996625204136865,0.00046736932269949866
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.595,7.591371373145232e-05,114.62736011213744,30563.49060690756,2.5156663727e-313,0.021100406415234443,0.05796780371199357,0.0010626801422420871
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.494,7.579488914624016e-05,115.58207814117532,42125.67194476194,2.5090565357e-313,0.026141997726544342,0.08116997666113367,0.0019888433003595707
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.392,7.374431344789919e-05,116.6320977390927,53556.197922421474,2.3949894762e-313,0.03168684921206643,0.10410795288582687,0.0032116446700135044
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.291,7.02870135291548e-05,117.73814596441895,64486.39998511898,2.2026707844e-313,0.03752757176374385,0.12604191423942188,0.004675800357525917
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.19,6.626462426238076e-05,118.88644520371025,74843.99712517676,1.97891795425e-313,0.043591409767755315,0.14682681227543,0.006339633703511268
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.089,6.217182891061307e-05,120.04635971244757,84539.41214190102,1.75124865563e-313,0.049716584668878225,0.16628288976274883,0.008148369252531488
