Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-17.0,3.0503705664839397e-05,115.05593637594566,338608.31152083084,1.1496735575e-314,0.06812882473880084,0.6763096853876531,0.11666946601743171
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.899,3.057491304573022e-05,115.20609631480683,337735.91245637595,1.189283978e-314,0.06888543036301892,0.6745599848280895,0.11613039454096727
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.797,3.0703286603798054e-05,115.14453635119332,336766.4619340125,1.26069414e-314,0.06857525033064889,0.6726156359738086,0.11545423091806832
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.696,3.080496911403523e-05,115.0033733199705,335445.42303109117,1.317256914e-314,0.06786397710980932,0.6699661346139109,0.1145164150769566
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.595,3.0961837755233455e-05,114.9111283417944,333819.11687987304,1.404517992e-314,0.06739918556938089,0.6667043833136775,0.11339500879012568
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.494,3.115452262718718e-05,114.55478510231491,331818.77885165135,1.51170251e-314,0.0656036913704152,0.6626924663941164,0.11194224841459162
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.392,3.1432108896285245e-05,114.41490851951647,329174.40673643595,1.6661149977e-314,0.06489890013219053,0.6573888621627456,0.11014596264309136
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.291,3.182261959312033e-05,115.36735151636194,327029.71775703604,1.8833437833e-314,0.06969794129873405,0.6530874321632869,0.10905970002304986
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.19,3.235586708404414e-05,115.08860046012077,323006.85518975946,2.1799725467e-314,0.06829340811559398,0.6450191006258047,0.10634440483905204
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.089,3.307118189243702e-05,114.92753191721154,317564.3786049345,2.577879617e-314,0.06748183769025963,0.6341035635581093,0.10279873153830055
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.987,3.395708553436903e-05,114.68838971846978,311177.4192344083,3.0706798756e-314,0.066276880270004,0.6212937534151989,0.09869779443734872
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.886,3.4819382061157146e-05,114.65208764571707,302936.39405079576,3.5503482405e-314,0.06609396628759447,0.6047653927570469,0.09361950125895914
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.785,3.586130106701437e-05,114.17940250760071,293605.63395551604,4.1299349263e-314,0.06371226423912868,0.5860514385300716,0.08789369845802984
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.684,3.709011855408394e-05,113.88495267359505,282256.387039634,4.813487343e-314,0.06222863017435499,0.5632891678119657,0.08125987285026252
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.582,3.8243695176210284e-05,113.70907031925225,267639.4895177353,5.4551856393e-314,0.06134241791624054,0.5339732333787591,0.07316329960914705
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.481,3.977679456627334e-05,113.27704904872317,252062.90331418,6.3080004834e-314,0.0591656074730347,0.5027325286291714,0.06493528338929677
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.38,4.149971014777925e-05,112.72716871080854,234165.03317309465,7.266404088e-314,0.056394944675297376,0.46683621159171385,0.05607420700579078
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.278,4.350032530535877e-05,112.1101458745982,214190.2333386691,8.3792832105e-314,0.05328597332322883,0.4267743638989909,0.04695378689684901
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.177,4.5639054992753394e-05,111.29297444533162,192764.14604402086,9.56899109e-314,0.04916852026602522,0.38380178580237195,0.03803472438884772
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.076,4.7745399100404815e-05,110.21701634594595,170509.6391759161,1.07406838925e-313,0.04374712787873302,0.3391677132701348,0.0297155900300422
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.975,5.000490162237802e-05,109.03720527112564,146703.66577563365,1.1997573891e-313,0.037802455141824565,0.2914219892356213,0.021946206759886473
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.873,5.21341053773986e-05,107.7897226426824,121774.32462982927,1.3181982795e-313,0.03151680811803909,0.24142321696547767,0.015067947019464673
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.772,5.391549033560011e-05,106.5222648653938,97036.93509949025,1.41729110705e-313,0.025130513011445206,0.19180942659487188,0.009513485374772594
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.671,5.542508123742961e-05,105.2692672965645,72654.67642648381,1.5012648884e-313,0.01881707805071084,0.1429078935903161,0.005282707725788549
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.57,5.595671476157303e-05,104.05837072169521,50335.71214500158,1.5308379848e-313,0.01271577589355182,0.09814454401406345,0.002488933358219626
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.468,5.611598388399876e-05,103.97399147329611,30984.535818548065,1.5396976238e-313,0.012290617130234254,0.05933344777822969,0.0009556441410339814
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.367,5.475452284741934e-05,102.99740602149524,15666.61895946016,1.46396383977e-313,0.00736993022155586,0.028611535305246932,0.00023181292386614913
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.266,5.18497978488932e-05,102.21173696096584,5593.552364965173,1.30238314827e-313,0.003411207046260223,0.008408796701988294,2.3495132250069997e-05
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.165,4.8404871463151885e-05,101.68556752775687,1400.9341847232304,1.11075275713e-313,0.0007600155535305101,0.0,2.8881182080414385e-07
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.063,4.411745042043139e-05,101.53473083635689,3494.6389625611864,8.7225704504e-314,0.0,0.004199175091542673,4.408267862358104e-06
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.962,4.149095394989519e-05,101.94664435315599,11991.067735035322,7.2615332917e-314,0.0020754942088102224,0.02123977816323381,0.00011493588221124833
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.861,4.225585807196484e-05,103.83461876933694,32382.585013254153,7.6870253333e-314,0.011588364768667408,0.06213740247962908,0.0010324092957346995
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.759,4.443082366792166e-05,107.50690304808282,53237.23171196217,8.896890106e-314,0.030091774933183,0.10396388818434628,0.003154879970916484
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.658,4.703888798472216e-05,109.92808167851754,69321.10523906733,1.0347674039e-313,0.04229128289060984,0.13622201827290922,0.005533385869852998
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.557,4.861831313184602e-05,112.3983243255027,83956.63497510925,1.12262584407e-313,0.054738007989641325,0.16557532183779028,0.008351921559758977
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.456,4.886606317240142e-05,114.83953937896209,97159.7828043978,1.13640739755e-313,0.06703847276993748,0.19205581234512728,0.011468437179549509
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-13.354,4.8046625706594156e-05,117.30974051589644,109280.9195845392,1.09082467543e-313,0.07948498871372996,0.21636620041278584,0.01486251488567734
