Log kbp,bp,Log kbs,bs,Log kgL,gL,Log gammaL,l,Log kgW,gW,Log gammaW,w,Agglomeration Kernel,Concentration Residual,H²,Agglomeration Rate Residual,Normalized Concentration Residual,Normalized H²,Normarlized Agglomeration Rate Residual,Weighted Distance
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-17.0,3.026514755670501e-05,109.97243011056058,341605.40277048294,5.566066078343157e-28,0.020632367453046103,1.0,0.25021284729335874
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.899,3.026504007764343e-05,109.9708950340589,341578.68652960093,5.562825009138286e-28,0.020620437819456935,0.9999215813624512,0.25017339344652934
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.797,3.0264955185374474e-05,109.96918151591359,341544.59447510325,5.5602650526723755e-28,0.020607121451445616,0.9998215129255498,0.25012309115444115
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.696,3.0264724554466023e-05,109.9669020403388,341501.9637287475,5.553310295865944e-28,0.020589406823964203,0.9996963813600099,0.25006017556275595
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.595,3.026421335490703e-05,109.96344792203149,341448.15392881545,5.537894891936709e-28,0.020562563623814492,0.9995384365647043,0.24998068105394505
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.494,3.0271643397609243e-05,110.00985870804578,341381.03131656727,5.761950463682474e-28,0.02092323859416887,0.9993414154409442,0.24988970711051176
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.392,3.0271243967325053e-05,110.00570526637091,341294.66495468974,5.749905501858739e-28,0.020890960699705023,0.9990879092512676,0.24976237872249557
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.291,3.0270741095838543e-05,110.00106537899184,341186.6721107936,5.7347412339075995e-28,0.02085490246008851,0.9987709240990242,0.2496033031847146
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.19,3.027014367452123e-05,109.9951938615279,341050.4489047916,5.716725782289333e-28,0.020809272778518555,0.9983710759967265,0.24940271426350075
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-16.089,3.026945837621509e-05,109.98885333162164,340878.6725502339,5.6960603689192655e-28,0.020759998231966708,0.997866870792596,0.2491500617196475
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.987,3.0268407331945143e-05,109.98023079061647,340659.5975376255,5.66436575634816e-28,0.02069298935346031,0.9972238325715527,0.24882794296636523
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.886,3.026722264731131e-05,109.96987392041078,340385.79626483953,5.628641171226614e-28,0.0206125023767206,0.9964201595224204,0.24842572120278655
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.785,3.0265705696863775e-05,109.95798119778681,340040.64445621456,5.582896992699701e-28,0.020520079736463828,0.9954070553698038,0.24791933830619134
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.684,3.026346027889539e-05,109.94039293680795,339605.27807333076,5.515185617829002e-28,0.02038339501181426,0.9941291495921508,0.24728093291330708
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.582,3.0260784465539922e-05,109.92057602910285,339050.686253079,5.434495517479294e-28,0.020229390669012276,0.9925012882799281,0.246469315932749
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.481,3.025698235037739e-05,109.89645955804852,338357.8274013611,5.319841386846807e-28,0.020041972867471634,0.9904675797426646,0.2454573469685332
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.38,3.0252955935462293e-05,109.87183632487458,337486.4307218987,5.198423417658107e-28,0.019850616834580805,0.9879098194398673,0.2441884763307845
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.278,3.0247607512756115e-05,109.83766813404554,336377.318186628,5.037139834857985e-28,0.019585083490445455,0.984654305526502,0.24257781309563334
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.177,3.0240760928734585e-05,109.80165714870583,334995.6152915157,4.830678666472959e-28,0.019305229125000448,0.980598672886774,0.24057978525261
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-15.076,3.0222636893415055e-05,109.67540332842091,333233.8481030416,4.284141956172641e-28,0.018324065115531477,0.9754274594960712,0.23803256786591903
9.583,2.984,9.475,2.576,1.039,1.786,-2.751,1.399,0.999,1.974,-2.797,1.623,-14.975,3.0210948283103284e-05,109.59662096284482,331040.6127040554,3.9316677684351145e-28,0.017711818915696516,0.9689897824077472,0.23489215386730455
